2025/03/11 08:14:09 [warn] 214#214: *16 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /static/206cd45a/jsbundles/vendors.js HTTP/1.1", upstream: "http://207.180.195.219:8080/static/206cd45a/jsbundles/vendors.js", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/"
2025/03/11 08:52:39 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:52:44 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:52:49 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:52:55 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:53:01 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:53:07 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:53:13 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:53:19 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:53:25 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
2025/03/11 08:53:31 [error] 188#188: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 87.219.224.191, server: jenkins.adrianrcv.eu, request: "GET /updateCenter/ HTTP/1.1", upstream: "http://207.180.195.219:8080/updateCenter/", host: "jenkins.adrianrcv.eu", referrer: "http://jenkins.adrianrcv.eu/updateCenter/"
